Month,CardName,MainCategory,Category,Description,Amount,Comment
2025-09,Citi_Costco,Gas,Gas Station,COSTCO GAS #0093 PALM BEACH GAFL,59.26,
2025-09,Citi_Costco,Grocery,Costco,COSTCO WHSE #0093 PALM BEACH GAFL,305.65,
2025-09,Citi_Double,Grocery,Restaurant Depot,RESTAURANT DEPOT RIVIERA BEACH FL,126.44,
2025-09,Citi_Double,Interest,Interest,INTEREST CHARGED TO STANDARD PURCH,22.32,
2025-09,Citi_Double,Lincense,Lincense,B2P*TAX COLLECT PALM B WEST PALM BEA FL,112.5,
2025-09,WellsFargo,Interest,Interest,INTEREST CHARGE ON PURCHASES,5.48,
2025-09,WellsFargo,Water,Water,Primo Water Corporatio Vista CA,2.6,
2025-10,Amex_BC_OCT25,Grocery,SAMS,SAM'S CLUB 8157 8157W. PALM BEACH       FL,45.89,
2025-10,Amex_BC_OCT25,Shopping,Temu,BT*TEMU.COM         BOSTON              MA,33.08,
2025-10,Amex_BC_OCT25,Shopping,Walmart,WALMART.COM 80092562BENTONVILLE         AR,134.81,
2025-10,Amex_P_OCT25,Grocery,ALDI,AplPay ALDI 77013 77LAKE PARK           FL,72.43,
2025-10,Amex_P_OCT25,Grocery,FoodTown,AplPay FOODTOWN 0000WEST PALM BEACH     FL,152.64,
2025-10,Amex_P_OCT25,Grocery,Publix,AplPay PUBLIX #2021 PALM BEACH GA       FL,43.55,
2025-10,Amex_P_OCT25,Grocery,Spice of India,AplPay SPICE OF INDIWEST PALM BEA       FL,204.17000000000002,
2025-10,Amex_P_OCT25,Water,Water,AplPay NYX=PRIMO WATHUNT VALLEY         MD,5.6,
2025-10,Bilt_OCT25,Food,KFC,KFC E320080 NORTH PALM BEFL,21.4,
2025-10,Bilt_OCT25,Food,Office Food,ARAMARK FP AND L JUNO JUNO BEACH FL,11.98,
2025-10,Bilt_OCT25,Food,Pizza,DOMINO'S 3879 WEST PALM BEAFL,13.89,
2025-10,Bilt_OCT25,Food,Pizza,DOMINO'S 5062 NORTH PALM BEFL,13.89,
2025-10,Bilt_OCT25,Food,Popeyes,POPEYES 4549 RIVIERA BEACHFL,12.82,
2025-10,Bilt_OCT25,RENT,RENT,BPS*BILT RENT NEW YORK NY,2497.94,
2025-10,Bilt_OCT25,Shopping,FeDex,FEDEX OFFIC10700010769 NORTH PALM BEFL,2.14,
2025-10,CITI_Costco_OCT25,Gas,Gas Station,COSTCO GAS #0093 PALM BEACH GAFL,57.43,
2025-10,CITI_Costco_OCT25,Grocery,Costco,COSTCO WHSE #0093 PALM BEACH GAFL,201.56,
2025-10,CITI_Double_OCT25,Interest,Interest,INTEREST CHARGED TO STANDARD PURCH,24.04,
2025-10,WF_OCT25,Interest,Interest,MINIMUM INTEREST CHARGE,1.0,
2025-10,WF_OCT25,Trip,Tamil Sangham,PAYPAL *THENPOOVAGA 402-935-7733 CA,73.37,
